domain,organization
"data.sandiegocounty.gov","San Diego County"
"data.sccgov.org","County of Santa Clara"
"data.seattle.gov","City of Seattle"
"data.sfgov.org","City and County of San Francisco"
"data.smcgov.org","County of San Mateo"
"data.smgov.net","City of Santa Monica"
"data.snhd.org","Southern Nevada Health District"
"data.somervillema.gov","City of Somerville"
"data.sonomacounty.ca.gov","Sonoma County"
"data.srcity.org","City of Santa Rosa"
"data.strathcona.ca","Strathcona County"
"data.sunlightlabs.com","Sunlight Foundation"
"data.sunshinecoast.qld.gov.au","Sunshine Coast Council"
"data.sustainablesm.org","Santa Monica Office of Sustainability and the Environment"
"data.texas.gov","State of Texas"
"data.tol.ca","Township of Langley Canada"
"data.tompsc.com","Town of Mount Pleasant Municipal Complex"
"data.topeka.org","City of Topeka"
"data.transportation.gov","U.S. Department of Transportation"
"data.tuscaloosa.com","City of Tuscaloosa"
"data.urbanaillinois.us","City of Urbana"
"data.vbgov.com","City of Virginia Beach"
"data.vermont.gov","State of Vermont"
"data.vta.org","Santa Clara Valley Transportation Authority (VTA)"
"data.wa.gov","State of Washington"
"data.waterpointdata.org","Water Point Data Exchange (WPDx)"
"data.weho.org","City of West Hollywood"
"data.winnipeg.ca","City of Winnipeg"
"datacatalog.cookcountyil.gov","Cook County"
"datadiscovery.nlm.nih.gov","National Library of Medicine (NLM)"
"datapoints.dallascityhall.com","City of Dallas"
"debtwatch.treasury.ri.gov","State of Rhode Island"
"eda.data.commerce.gov","U.S. Economic Development Administration"
"electionsdata.kingcounty.gov","King County"
"esa.data.commerce.gov","U.S. Economics & Statistics Administration"
"finances.worldbank.org","World Bank"
"flintactiontracker.michigan.gov","State of Michigan"
"future.michigan.gov","State of Michigan"
"greengov.data.ca.gov","State of California"
"hartstat.hartford.gov","City of Hartford"
"health.data.ny.gov","State of New York"
"healthdata.nj.gov","State of New Jersey"
"hsmp-data.aspe.hhs.gov","U.S. Department of Health and Human Services (HHS)"
"impact.glispa.org","Global Island Partnership (GLISPA)"
"impact.stlouisco.com","St. Louis County"
"information.stpaul.gov","City of Saint Paul"
"insights.cincinnati-oh.gov","City of Cincinnati"
"ita.data.commerce.gov","U.S. International Trade Administration"
"kcstat.kcmo.org","City of Kansas City"
"mbda.data.commerce.gov","U.S. Minority Business Development Agency"
"midashboard.michigan.gov","State of Michigan"
"mydata.iadb.org","Inter-American Development Bank"
"nist.data.commerce.gov","National Institute of Standards and Technology (NIST)"
"noaa.data.commerce.gov","National Oceanic and Atmospheric Administration (NOAA)"
"ntia.data.commerce.gov","National Telecommunications and Information Administration (NTIA)"
"ntis.data.commerce.gov","National Technical Information Service (NTIS)"
"open.piercecountywa.gov","Pierce County"
"opendata.ci.richmond.ca.us","City of Richmond"
"opendata.cityofhenderson.com","City of Henderson"
"opendata.cityofmesquite.com","City of Mesquite"
"opendata.fcc.gov","U.S. Federal Communications Commission"
"opendata.fcgov.com","City of Fort Collins"
"opendata.howardcountymd.gov","Howard County"
"opendata.lasvegasnevada.gov","City of Las Vegas"
"opendata.miamidade.gov","Miami-Dade County"
"opendata.ramseycounty.us","Ramsey County"
"opendata.usac.org","Universal Service Administrative Company"
"opendata.utah.gov","State of Utah"
"opengov.cityofdubuque.org","City of Dubuque"
"openpaymentsdata.cms.gov","Centers for Medicare & Medicaid Services"
"openperformance.ramseycounty.us","Ramsey County"
"performance.adcogov.org","Adams County"
"performance.austintexas.gov","City of Austin"
"performance.carson.org","Carson City"
"performance.chattanooga.gov","City of Chattanooga"
"performance.ci.janesville.wi.us","City of Janesville"
"performance.cityofcamas.us","City of Camas"
"performance.cityofdavenportiowa.com","City of Davenport"
"performance.cityofrc.us","City of Rancho Cucamonga"
"performance.cookcountyil.gov","Cook County"
"performance.danvilleva.gov","City of Danville"
"performance.franklintn.gov","City of Franklin"
"performance.fultoncountyga.gov","Fulton County"
"performance.glendaleca.gov","City of Glendale"
